Medi̤̣o,Cin,Altura,c_out,c_in_c_out,D,log_c_out,c_out/(c_in_c_out),,remocao_perc
1,50.0,altura_um,38.7,11.3,21.2539,1.59,3.4248,,22.60
2,50.0,altura_um,42.3,7.7,21.2539,1.63,5.4935,,15.40
3,49.0,altura_um,39.5,9.5,21.2539,1.60,4.1579,,19.39
4,50.0,altura_um,41.1,8.9,21.2539,1.61,4.6180,,17.80
5,50.0,altura_um,36.8,13.2,21.2539,1.57,2.7879,,26.40
6,50.0,altura_um,44.2,5.8,21.2539,1.65,7.6207,,11.60
7,48.0,altura_um,37.6,10.4,21.2539,1.58,3.6154,,21.67
8,47.0,altura_um,40.4,6.6,21.2539,1.61,6.1212,,14.04
9,51.0,altura_um,43.0,8.0,21.2539,1.63,5.3750,,15.69
10,46.0,altura_um,41.9,4.1,21.2539,1.62,10.2195,,8.91
1,50.0,altura_dois,28.3,21.7,42.5078,1.45,1.3041,,43.40
2,50.0,altura_dois,29.7,20.3,42.5078,1.47,1.4631,,40.60
3,49.0,altura_dois,30.1,18.9,42.5078,1.48,1.5926,,38.57
4,50.0,altura_dois,27.5,22.5,42.5078,1.44,1.2222,,45.00
5,50.0,altura_dois,30.8,19.2,42.5078,1.49,1.6042,,38.40
6,50.0,altura_dois,28.9,21.1,42.5078,1.46,1.3697,,42.20
7,48.0,altura_dois,29.2,18.8,42.5078,1.47,1.5532,,39.17
8,47.0,altura_dois,27.8,19.2,42.5078,1.44,1.4479,,40.85
9,51.0,altura_dois,31.0,20.0,42.5078,1.49,1.5500,,39.22
10,46.0,altura_dois,29.4,16.6,42.5078,1.47,1.7711,,36.09
1,50.0,altura_tres,20.3,29.7,63.7616,1.31,0.6835,,59.40
2,50.0,altura_tres,18.7,31.3,63.7616,1.27,0.5974,,62.60
3,49.0,altura_tres,23.1,25.9,63.7616,1.36,0.8919,,52.86
4,50.0,altura_tres,21.5,28.5,63.7616,1.33,0.7544,,57.00
5,50.0,altura_tres,19.8,30.2,63.7616,1.30,0.6556,,60.40
6,50.0,altura_tres,22.4,27.6,63.7616,1.35,0.8116,,55.20
7,48.0,altura_tres,17.9,30.1,63.7616,1.25,0.5947,,62.71
8,47.0,altura_tres,24.0,23.0,63.7616,1.38,1.0435,,48.94
9,51.0,altura_tres,19.3,31.7,63.7616,1.29,0.6088,,62.16
10,46.0,altura_tres,23.6,22.4,63.7616,1.37,1.0536,,48.70
